GeneralParams(name='runs/CIFAR10/8norm1mean',
              console=True,
              tensorboard=True,
              load=False,
              test=False,
              cuda=True,
              num_workers=4,
              gpu='1',
              visualize=False)
DatasetParams(dataset='CIFAR10', image_size=32)
TrainerParams(batch_size=128,
              optimizer='AdamW',
              lr=0.001,
              lr_morpho=1,
              weight_decay=0,
              max_epochs=400,
              scheduler='CosineAnnealingLR',
              amp=True)
ModelParams(model='ResNet8',
            morpho_type='infinity',
            expansion=8,
            morpho_init='normal',
            relu=False,
            conv_type='norm1',
            norm_type='mean')
Using cuda backend
=================================================================================================================================================
Layer (type:depth-idx)                        Kernel Shape              Input Shape               Output Shape              Param #
=================================================================================================================================================
ResNet                                        --                        [128, 3, 32, 32]          [128, 10]                 --
├─Conv2d: 1-1                                 [3, 3]                    [128, 3, 32, 32]          [128, 16, 32, 32]         432
├─BatchNorm2d: 1-2                            --                        [128, 16, 32, 32]         [128, 16, 32, 32]         32
├─Sequential: 1-3                             --                        [128, 16, 32, 32]         [128, 16, 32, 32]         --
│    └─InfinityBlock: 2-1                     --                        [128, 16, 32, 32]         [128, 16, 32, 32]         --
│    │    └─Conv1x1: 3-1                      --                        [128, 16, 32, 32]         [128, 16, 32, 32]         256
│    │    └─BatchNorm2d: 3-2                  --                        [128, 16, 32, 32]         [128, 16, 32, 32]         16
│    │    └─InfinityConv: 3-3                 3                         [128, 16, 32, 32]         [128, 16, 32, 32]         144
│    │    └─BatchNorm2d: 3-4                  --                        [128, 16, 32, 32]         [128, 16, 32, 32]         16
│    │    └─Identity: 3-5                     --                        [128, 16, 32, 32]         [128, 16, 32, 32]         --
├─Sequential: 1-4                             --                        [128, 16, 32, 32]         [128, 32, 16, 16]         --
│    └─InfinityBlock: 2-2                     --                        [128, 16, 32, 32]         [128, 32, 16, 16]         --
│    │    └─Conv1x1: 3-6                      --                        [128, 16, 32, 32]         [128, 32, 32, 32]         512
│    │    └─BatchNorm2d: 3-7                  --                        [128, 32, 32, 32]         [128, 32, 32, 32]         32
│    │    └─InfinityConv: 3-8                 3                         [128, 32, 32, 32]         [128, 32, 16, 16]         288
│    │    └─BatchNorm2d: 3-9                  --                        [128, 32, 16, 16]         [128, 32, 16, 16]         32
│    │    └─Conv1x1: 3-10                     --                        [128, 16, 32, 32]         [128, 32, 16, 16]         512
├─Sequential: 1-5                             --                        [128, 32, 16, 16]         [128, 64, 8, 8]           --
│    └─InfinityBlock: 2-3                     --                        [128, 32, 16, 16]         [128, 64, 8, 8]           --
│    │    └─Conv1x1: 3-11                     --                        [128, 32, 16, 16]         [128, 64, 16, 16]         2,048
│    │    └─BatchNorm2d: 3-12                 --                        [128, 64, 16, 16]         [128, 64, 16, 16]         64
│    │    └─InfinityConv: 3-13                3                         [128, 64, 16, 16]         [128, 64, 8, 8]           576
│    │    └─BatchNorm2d: 3-14                 --                        [128, 64, 8, 8]           [128, 64, 8, 8]           64
│    │    └─Conv1x1: 3-15                     --                        [128, 32, 16, 16]         [128, 64, 8, 8]           2,048
├─Linear: 1-6                                 --                        [128, 64]                 [128, 10]                 650
=================================================================================================================================================
Total params: 7,722
Trainable params: 7,722
Non-trainable params: 0
Total mult-adds (M): 258.07
=================================================================================================================================================
Input size (MB): 1.57
Forward/backward pass size (MB): 239.09
Params size (MB): 0.03
Estimated Total Size (MB): 240.69
=================================================================================================================================================| epoch   1 | time  3.78s | loss 2.0767 | train_acc 21.60 | val_acc 25.71 | lr 1.00e-03| best
| epoch   2 | time  3.36s | loss 1.9510 | train_acc 26.89 | val_acc 27.82 | lr 1.00e-03| best
| epoch   3 | time  3.35s | loss 1.8806 | train_acc 29.22 | val_acc 29.39 | lr 1.00e-03| best
| epoch   4 | time  3.38s | loss 1.8248 | train_acc 31.16 | val_acc 31.53 | lr 1.00e-03| best
| epoch   5 | time  3.35s | loss 1.7897 | train_acc 32.08 | val_acc 31.29 | lr 1.00e-03|
| epoch   6 | time  3.36s | loss 1.7666 | train_acc 32.88 | val_acc 32.54 | lr 1.00e-03| best
| epoch   7 | time  3.34s | loss 1.7437 | train_acc 34.15 | val_acc 33.55 | lr 9.99e-04| best
| epoch   8 | time  3.37s | loss 1.7256 | train_acc 34.39 | val_acc 33.26 | lr 9.99e-04|
| epoch   9 | time  3.38s | loss 1.7090 | train_acc 35.09 | val_acc 33.81 | lr 9.99e-04| best
| epoch  10 | time  3.38s | loss 1.6954 | train_acc 35.51 | val_acc 33.63 | lr 9.99e-04|
| epoch  11 | time  3.36s | loss 1.6857 | train_acc 36.07 | val_acc 35.13 | lr 9.98e-04| best
| epoch  12 | time  3.37s | loss 1.6741 | train_acc 36.50 | val_acc 33.67 | lr 9.98e-04|
| epoch  13 | time  3.37s | loss 1.6649 | train_acc 37.03 | val_acc 35.67 | lr 9.98e-04| best
| epoch  14 | time  3.38s | loss 1.6576 | train_acc 37.27 | val_acc 35.35 | lr 9.97e-04|
| epoch  15 | time  3.36s | loss 1.6491 | train_acc 37.71 | val_acc 36.12 | lr 9.97e-04| best
| epoch  16 | time  3.35s | loss 1.6379 | train_acc 38.24 | val_acc 35.63 | lr 9.97e-04|
| epoch  17 | time  3.37s | loss 1.6347 | train_acc 38.47 | val_acc 37.28 | lr 9.96e-04| best
| epoch  18 | time  3.36s | loss 1.6257 | train_acc 38.79 | val_acc 37.58 | lr 9.96e-04| best
| epoch  19 | time  3.36s | loss 1.6196 | train_acc 39.30 | val_acc 37.27 | lr 9.95e-04|
| epoch  20 | time  3.38s | loss 1.6106 | train_acc 39.40 | val_acc 37.46 | lr 9.94e-04|
| epoch  21 | time  3.37s | loss 1.6068 | train_acc 39.73 | val_acc 36.57 | lr 9.94e-04|
| epoch  22 | time  3.37s | loss 1.6002 | train_acc 40.02 | val_acc 38.86 | lr 9.93e-04| best
| epoch  23 | time  3.40s | loss 1.5920 | train_acc 40.43 | val_acc 37.15 | lr 9.93e-04|
| epoch  24 | time  3.37s | loss 1.5860 | train_acc 40.64 | val_acc 36.00 | lr 9.92e-04|
| epoch  25 | time  3.41s | loss 1.5788 | train_acc 40.78 | val_acc 38.22 | lr 9.91e-04|
| epoch  26 | time  3.39s | loss 1.5694 | train_acc 41.65 | val_acc 37.67 | lr 9.90e-04|
| epoch  27 | time  3.37s | loss 1.5657 | train_acc 41.74 | val_acc 39.96 | lr 9.90e-04| best
| epoch  28 | time  3.38s | loss 1.5544 | train_acc 41.99 | val_acc 40.72 | lr 9.89e-04| best
| epoch  29 | time  3.36s | loss 1.5491 | train_acc 42.61 | val_acc 41.57 | lr 9.88e-04| best
| epoch  30 | time  3.36s | loss 1.5414 | train_acc 42.98 | val_acc 41.99 | lr 9.87e-04| best
| epoch  31 | time  3.36s | loss 1.5368 | train_acc 43.18 | val_acc 41.07 | lr 9.86e-04|
| epoch  32 | time  3.38s | loss 1.5278 | train_acc 43.52 | val_acc 41.68 | lr 9.85e-04|
